,Stemmed_Comments,Fixed_Comments
2613,woy bangke buat video yg lucu jangan kbanyakan bikin video gaming bangsat,woy bangke buat video yg lucu jangan kbanyakan bikin video gaming tidak bermoral
2614,sabskreb sabskreb sabskreb sabskreb woy,sabskreb sabskreb sabskreb sabskreb woy
2615,anjg aku g berani ngebesarin volume bcs pake headset takut tuli,anjg aku g berani ngebesarin volume bcs pake headset takut tuli
2616,brain battleground hago,brain battleground hago
2617,ada tulis subscribe bang ada tulis disubcribe,ada tulis subscribe bang ada tulis disubcribe
2618,nama haters kontol,nama haters alat kelamin pria
2619,kontol kau berat belah,alat kelamin pria kau berat belah
2620,pertama aku suka bng lucu buat sya tertawa aku suka,pertama aku suka bng lucu buat sya tertawa aku suka
2621,tuju haters orang yg mampu bang erik kolim,tuju haters orang yg mampu bang erik kolim
2622,maklum bang nama indonesia orng nya banyak suka ngurusin hidup orng jadi jangan heran haha,maklum bang nama indonesia orng nya banyak suka ngurusin hidup orng jadi jangan heran haha
2623,kalau suka usah nonton orng nya banyak suka ngurusin hidup orng jadi jangan heran haha,kalau suka usah nonton orng nya banyak suka ngurusin hidup orng jadi jangan heran haha
2624,wik wik wik aih aih,wik wik wik aih aih
2625,tau aku lahir lobang pantat,tau aku lahir lobang bokong
2626,taikk,taikk
2627,jangan khawatir bang kalau iklan lewat channel kamu akan gwe skip tak support terus kamu bang terus karya ba,jangan khawatir bang kalau iklan lewat channel kamu akan gwe skip tak support terus kamu bang terus karya ba
2628,begitu yak,begitu yak
2629,youtube youtube lebih tv,youtube youtube lebih tv
2630,jujur kamu orang nya pantang nyerah si reza mau di rewind kamu tetep mau bikin kamu punya prinsip,jujur kamu orang nya pantang nyerah si reza mau di rewind kamu tetep mau bikin kamu punya prinsip
2631,respect for you,respect for you
2632,santiiii rik soapers selalu sama loeza mau di rewind kamu tetep mau bikin kamu punya prinsip,santiiii rik soapers selalu sama loeza mau di rewind kamu tetep mau bikin kamu punya prinsip
2633,terusin bang lanjutin bikin konten toxic,terusin bang lanjutin bikin konten toxic
2634,mantap aku so tertawa lah,mantap aku so tertawa lah
2635,jujur gua suka erick bukan konten karena ganteng,jujur gua suka erick bukan konten karena ganteng
2636,hahaha kontol channel anj,hahaha alat kelamin pria channel anj
2637,islam kamu know lah indonesia cumsn islam ktp doang,islam kamu know lah indonesia cumsn islam ktp doang
2638,yg subscribe aku mandul turun,yg subscribe aku mandul turun
2639,haters mah gitu rik sinting kwkw cem pantat,haters mah gitu rik tidak waras kwkw cem bokong
2640,gua like kamu bang,gua like kamu bang
2641,fix semua heaters kamu bocah semua,fix semua heaters kamu bocah semua
2642,jamin tu haters nonton video ni makin bayak dong views abang icko makin masuk trending,jamin tu haters nonton video ni makin bayak dong views abang icko makin masuk trending
2643,wkwkkw,wkwkkw
2644,tertawa aku anjir,tertawa aku sialan
2645,positif hamil,positif hamil
2646,peduli anjing,peduli hewan ternak
2647,ngomong apa,ngomong apa
2648,bau tai entar anak nya,bau kotoran entar anak nya
2649,nyari adsense kampret sampe menitin gitun bayak dong views abang icko makin masuk trending,nyari adsense bajak laut sampe menitin gitun bayak dong views abang icko makin masuk trending
2650,bang intro pake wik wik wiknitin gitun bayak dong views abang icko makin masuk trending,bang intro pake wik wik wiknitin gitun bayak dong views abang icko makin masuk trending
2651,bodo tidak usah pikirin bang,bodo tidak usah pikirin bang
2652,smakin benci banyak makin banyak duit,smakin benci banyak makin banyak duit
2653,bar kuning bau uang,bar kuning bau uang
2654,fans,fans
2655,youtube rewind aja garasi drift bang since nya lagi ngedrift ngelilingin youtubers,youtube rewind aja garasi drift bang since nya lagi ngedrift ngelilingin youtubers
2656,kamu ganteng kok bang,kamu ganteng kok bang
2657,coli aja bang,coli aja bang
2658,tonton ericko lim tonton qorygore dia ngedrift ngelilingin youtubers,tonton ericko lim tonton qorygore dia ngedrift ngelilingin youtubers
2659,ken tau gua org yg dislike ni video gua ajak gelut ajx,ken tau gua org yg dislike ni video gua ajak gelut ajx
2660,kalian haters banyak bacod bikin channel yutub aja gabisa kalau pun viewernya misqiuen kalian g ngedit dasar tolol,kalian haters banyak bacod bikin channel yutub aja gabisa kalau pun viewernya misqiuen kalian g ngedit dasar tidak pengertian
