likeCount,Comments,Author
0.0,channel gaguna ,
,,
0.0,berbau gore wkwk,Tjrks Coffeerock
0.0,jangan kemakan omongan orang bang tetep berkarya bang walaupun konteng lu toxic tapi disitu gw ketawa ngakak dimana gw lagi kesel gw buka channel lu langsung ketawa ngakak gara toxic lu bang,Angga Dwi Primantara
0.0,chenel lo itu gkada manfaatnya kontol,Alexander Dustin
0.0,gue sebagai hatters yg komen terus di setiap videonya kok gk di bacain di video ini,Dikashandika
0.0,sabar ya njink,Irland OR
0.0,mending ngopi,Asya skater
0.0,kadal kegencet ,
,,
,,
0.0,apa cuma gua yg disini kalok nontn chanelnya eric harus pakek henset biar gk kedengeran org yg di dekat gua wkwkk gw lagi kesel gw buka channel lu langsung ketawa ngakak gara toxic lu bang,ANDRA DPA
0.0,gua udah subscribe bang menurut gua soapking is the best,Andi Subondo
0.0,eric kontol yeah i don t care about that but ha ha it s so funny biar gk kedengeran org yg di dekat gua wkwkk gw lagi kesel gw buka channel lu langsung ketawa ngakak gara toxic lu bang,EA electronic art
0.0,bang tobat yuk,Daffa Ganteng
0.0,buat vidio b k p auto bersatu haters,Calvin Karna Calvin
1.0,haters ngebuat vidio pasti di haters lagi sama temannya nya haters,Calvin Karna Calvin
0.0,arap aja tatoan,Lucky Kurniawan
0.0,kalo gak suka jangan tonton anjing susah amat tolol emang netizen indonesia just for fun video bang erick ahhh kontol netizen indonesia pasti jomblo abadi yang haters ericko,I'mFanny
0.0,terus berkreasi rick walau banyak hetersnya v,Rifai Jan
0.0,wkwkwk ngakak anjirrr v,Ella Juwita
0.0,lu bikin konten bokep gabakal ada haters bang,RizalAF Channel
0.0,hmmmm bau mmq v,Naa IX
0.0,iye uya kuya,Jason Lambert
1.0,kirim diamod kak,Anggita Anggraeni
0.0,ericolim ky kontol matiin aj sek mak km,Ahcmad Eryan
0.0,erickontol jembud,Biima *
1.0,gud v,Mr Fox
0.0,gausah di perduliin bang anji k mmng haterss fuck,Dani MV
0.0,fakta nya eric lebih bisa bergaul dan deket sama orang dan grup sebelah mana lebih deket sama orang gak nyatanya kehilangan temen wkwkwk fuck,Fajar ardianto
0.0,hai erpan,Sharif Hashim
0.0,gua baru sadar soapers itu para pengguna sabun hahahahahahahah coli terus sampe abis,Pras Syafna
0.0,video lama yg belum di upload terus baru di upload anjirr,DashKid
0.0,coba bikin video lu ngentot sama ody peler lu kan kecil,Paijo Tok
0.0,bang kapan sehat,Rizki Riyanto
0.0,yang haters erico fuck fuck fuck,illaty maz
0.0,babi aer haters,alex no limit
0.0,i love you jess no limit,Alvin Oei
0.0,budek kuping gw ajg,Shioru
0.0,ect ericontol,Ju Bet
0.0,kontol daki lo tuh urus woi,Tedy Sofyan
0.0,ntol daki lo tuh urus woi,AR 28
0.0,jangan nilai orang karna luarnya aja belum tentu kita lebih baik dari dia,Ahmad Fahrizal
1.0,erickontollim,THREEINSOMNIAC
